,0,1,2,3
265,82175994,1,108,5
266,82180907,1,108,8
267,82182381,1,195,8
268,82182383,1,341,13
269,82182387,1,195,8
270,82182413,1,90,4
271,82182421,1,270,11
272,82182463,1,341,13
273,82182585,1,156,7
274,82185458,1,132,8
275,82186186,72,70,5
276,82188365,240,40,4
277,82193938,1,100,7
278,82197850,1,90,4
279,82200531,1,112,8
280,82206059,12,371,28
281,82211166,72,24,2
282,82214256,36,35,2
283,82217713,1,462,21
284,82217715,1,476,21
285,82220195,240,40,5
286,82221315,1,280,22
287,82221370,1,406,29
288,82221400,48,48,5
289,82221444,1,60,5
290,82223275,72,48,4
291,82223282,36,76,5
292,82230061,120,64,6
293,82230065,120,64,6
294,82230067,120,64,6
295,82231876,1,504,25
296,82231880,1,330,26
297,82231905,1,234,25
298,82232002,1,192,13
299,82232003,1,90,7
300,82232988,10,60,6
301,82233228,1,100,4
302,82235286,1,64,4
303,82235287,1,64,4
304,82235303,1,64,4
305,82236051,1,99,9
306,82236566,36,72,5
307,82237830,10,75,8
308,82237832,10,60,4
309,82237835,10,60,6
310,82238386,1,252,21
311,82240130,120,450,6
312,82241359,1,52,4
313,82242799,12,125,8
314,82242802,36,40,3
315,82243191,3600,20,2
316,82243382,10,60,4
317,82243450,6,18,1
318,82245355,1,64,5
319,82247502,240,40,4
320,82247577,5,50,3
321,82249065,36,40,3
322,82249139,1,68,5
323,82249203,1,105,9
324,82249301,72,117,7
325,82249696,1,100,7
326,82249697,1,100,7
327,82249698,1,96,8
328,82249703,1,96,8
329,82249715,1,100,7
330,82249751,1,100,7
331,82249756,1,96,8
332,82249775,1,164,13
333,82249818,6,112,4
334,82250296,10,60,4
335,82250417,6,104,9
336,82250430,1,76,6
337,82250574,1,56,4
338,82250575,1,56,4
339,82250581,1,88,6
340,82250743,24,64,4
341,82251315,1,140,10
342,82251769,1,270,11
343,82251772,1,216,11
344,82252923,1,150,12
345,82252924,1,75,6
346,82252927,1,119,8
347,82252949,1,210,13
348,82252950,1,75,6
349,82252951,1,119,8
350,82252953,1,280,22
351,82252955,1,75,6
352,82252969,1,80,6
353,82254401,48,40,7
354,82255124,1,280,29
355,82255131,1,90,7
356,82255138,1,168,13
357,82255245,1,136,11
358,82255696,72,20,2
359,82255891,24,126,6
360,82256006,10,80,6
361,82256481,1,150,11
362,82259167,6,80,5
363,82259543,10,80,6
364,82259549,5,45,2
365,82259564,1,130,8
366,82260483,10,80,6
367,82260776,1,56,4
368,82260781,1,56,4
369,82260782,1,56,4
370,82260783,1,56,4
371,82260791,1,56,4
372,82260799,1,140,8
373,82260979,1,42,1
374,82261098,1,168,7
375,82261099,1,192,7
376,82261178,1,105,5
377,82261254,1,126,6
378,82261747,1,170,12
379,82261839,1,78,6
380,82261843,1,78,6
381,82261847,1,78,6
382,82262587,1,49,2
383,82262832,1,60,3
384,82262943,1,48,2
385,82262945,1,230,23
386,82263094,1,119,5
387,82263533,1,162,7
388,82263573,1,76,6
389,82263577,1,88,6
390,82263675,1,92,6
391,82263678,1,90,5
392,82263693,1,63,5
393,82263694,1,63,5
394,82263698,1,92,6
395,82263718,1,90,6
396,82263734,1,95,6
397,82263745,1,192,15
398,82263807,1,68,4
399,82263817,1,160,15
400,82263903,1,140,12
401,82264312,1,174,8
402,82264454,1,176,7
403,82264582,1,76,6
404,82264583,1,88,6
405,82264682,1,36,2
406,82265011,1,154,9
407,82265087,1,132,8
408,82265278,1,105,9
409,82265455,1,104,8
410,82265457,1,100,8
411,82265458,1,48,3
412,82265690,1,99,8
413,82265695,1,90,8
414,82265703,1,96,8
415,82266308,1,98,8
416,82266469,1,175,11
417,82266834,10,45,4
418,82266845,10,80,6
419,82267300,1,150,9
420,82267305,1,230,15
421,82267414,6,104,8
422,82267416,12,40,3
423,82267751,1,66,3
424,82267763,1,50,4
425,82267789,1,60,4
426,82267811,1,80,6
427,82267929,1,100,7
428,82267948,1,95,7
429,82267957,1,100,7
430,82268050,24,52,3
431,82268664,1,45,1
432,82268849,1,88,6
433,82269345,1,52,4
434,82269347,1,52,4
435,82269589,1,85,6
436,82269595,1,144,10
437,82269616,1,125,8
438,82269619,1,60,4
439,82269624,1,72,3
440,82269633,1,100,7
441,82269969,1,85,6
442,82270559,1,88,7
443,82270897,24,60,6
444,82271265,1,60,4
445,82271597,48,40,3
446,82271754,12,360,24
447,82271755,12,300,24
448,82271899,1,40,2
449,82273412,1,96,4
450,82273593,1,68,4
451,82273710,24,85,5
452,82273713,24,60,5
453,82273716,36,32,2
454,82273718,36,32,2
455,82273784,1,162,7
456,82273964,1,182,8
457,82273967,1,189,9
458,82273977,1,184,15
459,82273978,1,168,21
460,82274119,1,68,4
461,82274404,1,55,3
462,82274426,1,108,7
463,82274428,1,126,11
464,82274438,1,88,7
465,82274439,1,108,7
466,82274444,1,88,7
467,82274449,1,108,7
468,82274465,1,57,5
469,82274472,1,88,7
470,82274476,1,108,7
471,82274588,1,88,7
472,82274589,1,108,7
473,82274772,1,112,8
474,82274782,1,84,6
475,82275045,1,348,24
476,82275192,1,56,4
477,82275234,1,68,4
478,82275289,72,52,4
479,82275298,72,48,4
480,82275300,72,52,4
481,82275305,72,52,4
482,82275458,1,35,3
483,82275505,1,56,4
484,82275846,1,45,4
485,82276019,1,120,11
486,82276296,1,95,6
487,82276393,1,30,1
488,82276428,1,60,2
489,82276429,1,60,2
490,82276441,1,72,6
491,82276497,1,44,3
492,82276544,1,60,2
493,82276546,1,60,2
494,82276568,1,56,4
495,82276684,1,54,2
496,82276685,1,54,2
497,82276748,1,42,2
498,82276750,1,50,2
499,82276853,1,40,2
500,82276955,1,80,6
501,82276984,1,60,5
502,82277068,1,60,4
503,82277172,20,40,3
504,82277272,1,36,1
505,82277865,1,45,1
506,82277993,1,40,1
507,82278525,1,100,5
508,82278733,1,152,6
509,82279330,6,80,5
510,82279451,1,70,2
511,82279472,1,56,2
512,82279491,1,64,2
513,82279517,5,65,3
514,82279671,1,54,2
515,82279943,1,60,3
516,82280125,1,100,8
517,82280371,1,108,7
518,82280478,1,78,3
519,82280480,1,40,2
520,82280962,1,135,5
521,82281071,1,60,2
522,82281096,1,56,4
523,82281231,1,72,3
524,82281233,1,120,6
525,82281368,72,24,3
526,82281439,1,153,7
527,82281455,1,212,14
528,82281457,1,54,4
529,82281543,1,54,4
530,82281638,1,224,9
531,82281653,1,90,7
532,82281835,1,72,2
533,82281848,1,42,1
534,82281850,1,42,1
535,82281874,1,52,4
536,82281946,6,72,5
537,82281948,10,50,3
538,82282174,1,72,7
539,82282179,1,90,7
540,82282184,1,105,9
541,82282188,1,105,9
542,82282189,1,150,9
543,82282897,6,91,3
544,82283289,1,36,1
545,82283300,1,60,2
546,82283387,6,156,10
547,82283782,1,48,3
548,82283785,1,176,9
549,82284060,1,64,2
550,82284164,1,95,7
551,82284165,1,112,7
552,82284170,1,84,7
553,82284172,1,112,7
554,82284175,1,84,7
555,82284231,1,125,10
556,82284296,1,60,5
557,82284299,1,60,4
558,82284301,1,60,5
559,82284313,1,98,5
560,82284389,1,40,3
561,82284432,1,140,11
562,82284434,1,90,5
563,82284436,1,108,7
564,82284471,1,60,4
565,82284480,1,90,7
566,82284516,1,40,3
567,82284547,1,150,7
568,82284641,1,224,10
569,82284700,6,64,4
570,82284702,6,144,6
571,82284705,6,92,6
572,82284769,1,60,4
573,82284873,1,98,7
574,82284880,1,56,4
575,82284921,36,510,21
576,82284930,36,96,4
577,82284932,36,96,4
578,82284940,36,96,4
579,82285017,6,75,6
580,82285025,1,140,7
581,82285042,1,140,7
582,82285046,1,110,6
583,82285049,1,270,18
584,82285085,1,315,21
585,82285117,1,55,3
586,82285195,1,42,3
587,82285216,1,136,6
588,82285231,1,63,5
589,82285237,1,40,3
590,82285239,1,40,3
591,82285264,1,140,8
592,82285266,1,140,8
593,82285392,6,350,19
594,82285395,1,135,9
595,82285454,1,56,2
596,82285490,1,45,1
597,82285548,6,85,6
598,82285753,1,324,25
599,82285844,12,371,28
600,82285848,12,371,28
601,82285895,1,91,4
602,82285900,1,91,4
603,82285926,1,84,5
604,82285928,1,95,7
605,82285945,1,95,7
606,82285949,1,84,5
607,82285950,1,272,18
608,82285951,1,95,7
609,82285954,1,84,5
610,82286180,96,36,3
611,82286880,1,56,4
612,82286881,1,60,4
613,82286887,1,56,4
614,82286890,1,56,4
615,82286891,1,60,4
616,82286955,1,110,5
617,82286985,1,230,23
618,82286986,1,276,23
619,82287329,1,75,7
620,82287330,1,75,7
621,82287451,1,88,6
622,82287565,1,100,7
623,82287572,1,100,7
624,82287582,1,88,6
625,82287584,1,100,7
626,82287585,1,88,6
627,82287587,1,160,12
628,82287592,1,180,12
629,82287594,1,160,12
630,82287599,1,160,12
631,82287603,1,180,12
632,82287607,1,160,12
633,82287608,1,180,12
634,82287610,1,180,12
635,82287612,1,90,7
636,82287636,1,76,5
637,82287640,1,72,5
638,82287643,1,90,7
639,82287645,1,100,7
640,82287647,1,84,7
641,82287655,1,140,5
642,82287978,5,77,3
643,82288192,1,100,4
644,82288278,1,56,4
645,82288347,1,80,6
646,82288353,1,92,6
647,82288355,1,125,8
648,82288498,1,128,6
649,82288510,1,50,2
650,82289019,10,133,6
651,82289035,1,120,6
652,82289195,1,182,16
653,82289283,1,88,4
654,82289367,1,42,2
655,82289576,1,88,7
656,82289644,1,72,3
657,82289647,1,117,5
658,82289649,1,80,4
659,82289666,1,91,3
660,82289682,1,91,3
661,82289696,1,64,3
662,82289903,1,90,7
663,82290045,1,92,6
664,82290102,1,60,4
665,82290105,1,92,6
666,82290116,1,192,15
667,82290145,1,55,4
668,82290146,1,88,8
669,82290147,1,68,5
670,82290148,1,55,4
671,82290178,1,76,5
672,82290251,1,80,3
673,82290724,10,60,3
674,82290727,5,98,4
675,82290745,1,72,3
676,82290782,1,91,4
677,82290784,1,90,3
678,82290904,6,75,6
679,82291175,1,40,2
680,82291235,1,96,4
681,82291344,1,140,10
682,82291366,1,246,11
683,82291438,1,105,9
684,82291446,1,90,9
685,82291491,36,48,3
686,82291505,1,50,3
687,82291506,1,50,3
688,82291507,1,50,3
689,82291508,1,60,3
690,82291514,1,50,3
691,82291517,1,60,3
692,82291659,1,95,7
693,82291660,1,100,7
694,82291667,1,95,7
695,82291672,1,100,7
696,82291695,1,72,4
697,82291829,1,100,4
698,82291941,1,90,3
699,82291949,1,78,3
700,82291977,1,70,2
701,82292398,1,105,5
702,82292399,1,175,3
703,82292416,1,120,5
704,82292764,1,56,2
705,82293191,1,252,21
706,82293197,1,108,10
707,82293213,1,188,13
708,82293265,1,105,5
709,82293295,1,135,13
710,82293562,1,90,7
711,82293644,1,91,4
712,82293649,1,91,4
713,82293653,1,60,5
714,82293659,1,60,5
715,82293660,1,60,4
716,82293666,1,60,5
717,82293674,1,60,5
718,82293824,1,60,3
719,82293825,1,45,4
720,82293926,6,96,6
721,82293953,1,294,22
722,82293964,1,165,7
723,82293965,1,150,7
724,82294085,1,88,6
725,82294088,1,84,7
726,82294089,1,88,6
727,82294100,1,330,25
728,82294247,1,152,6
729,82294303,1,60,2
730,82294369,24,96,4
731,82294393,1,30,1
732,82294411,1,30,1
733,82294989,5,66,3
734,82294990,1,56,4
735,82294991,1,56,4
736,82295212,1,52,3
737,82295374,1,104,7
738,82295375,1,100,6
739,82295377,1,100,7
740,82295379,1,95,7
741,82295611,1,52,3
742,82295631,1,76,6
743,82295730,1,24,1
744,82295734,1,42,2
745,82295738,1,56,2
746,82295841,1,42,2
747,82295844,1,42,2
748,82295855,1,72,2
749,82295858,1,48,2
750,82295859,1,45,2
751,82295860,1,88,4
752,82295872,1,80,4
753,82296072,1,135,5
754,82296073,1,135,5
755,82296076,1,105,4
756,82296276,12,100,9
757,82296278,1,125,9
758,82296279,72,78,7
759,82296299,72,78,4
760,82296395,1,150,8
761,82296461,10,77,5
762,82296472,1,76,6
763,82296614,1,117,5
764,82296617,1,56,2
765,82296618,1,180,8
766,82296757,1,88,9
767,82296758,1,140,10
768,82296763,1,112,10
769,82297021,36,96,4
770,82297059,1,192,7
771,82297143,1,100,7
772,82297424,1,102,5
773,82297432,1,60,5
774,82297608,1,42,1
775,82297610,1,60,2
776,82297614,1,35,1
777,82297943,1,110,7
778,82298103,1,72,6
779,82298104,1,96,8
780,82298106,1,96,9
781,82298108,1,96,8
782,82298114,1,144,12
783,82298115,1,176,12
784,82298771,1,84,4
785,82298799,1,42,3
786,82298943,1,90,4
787,82298985,6,52,3
788,82299139,1,75,6
789,82299143,1,100,9
790,82299150,1,80,5
791,82299152,1,75,6
792,82299357,1,144,11
793,82299363,1,60,4
794,82299516,6,125,8
795,82299652,1,108,7
796,82299655,1,88,7
797,82299656,1,88,7
798,82299712,1,44,3
799,82299782,1,126,5
800,82299857,6,90,6
801,82299858,6,100,9
802,82300076,1,98,5
803,82300079,1,216,9
804,82300082,1,162,7
805,82300174,1,100,19
806,82300176,1,295,23
807,82300195,1,90,7
808,82300203,1,360,29
809,82300205,1,371,29
810,82300206,1,371,29
811,82300321,10,96,5
812,82300700,1,336,25
813,82300778,1,45,2
814,82300782,1,40,3
815,82300784,48,56,5
816,82300844,1,76,5
817,82300867,1,60,3
818,82300869,6,168,8
819,82301275,1,56,4
820,82301276,1,56,4
821,82301277,1,56,4
822,82301282,1,76,6
823,82301341,1,240,10
824,82301391,1,36,2
825,82301457,1,63,3
826,82301689,1,120,5
827,82301697,1,88,6
828,82301706,1,76,5
829,82301712,1,72,6
830,82301716,1,88,6
831,82301904,1,44,3
832,82301932,36,96,4
833,82302086,1,110,7
834,82302105,36,96,4
835,82302492,1,100,6
836,82302639,1,119,9
837,82302657,1,36,1
838,82302658,1,45,1
839,82302991,1,320,21
840,82303007,1,188,13
841,82303010,1,252,25
842,82303014,1,252,25
843,82303016,1,252,25
844,82303018,1,265,20
845,82303024,1,172,15
846,82303031,1,188,13
847,82303310,1,60,5
848,82303539,6,168,8
849,82303581,1,145,9
850,82303937,36,96,4
851,82303950,36,96,4
852,82303962,36,96,4
853,82303974,1,140,10
854,82304011,1,72,4
855,82304128,1,60,4
856,82304226,1,24,1
857,82304227,1,24,1
858,82304230,1,36,1
859,82304232,1,48,2
860,82304235,1,56,2
861,82304241,1,36,1
862,82304356,1,96,4
863,82304407,1,171,8
864,82304435,1,290,22
865,82304524,48,56,5
866,82304541,1,45,2
867,82304542,1,54,2
868,82304559,1,54,3
869,82305070,1,70,5
870,82305073,1,42,2
871,82305076,1,42,2
872,82305155,1,36,1
873,82305236,1,180,8
874,82305245,1,104,5
875,82305247,1,90,4
876,82305416,240,32,3
877,82305839,6,95,6
878,82305976,1,116,8
879,82305984,1,90,7
880,82305986,1,90,7
881,82305987,1,90,7
882,82306025,1,64,2
883,82306026,1,49,2
884,82306258,1,54,2
885,82306762,1,264,11
886,82306794,1,48,2
887,82306848,1,96,5
888,82306892,1,432,33
889,82306924,1,100,8
890,82306965,1,24,1
891,82306988,1,64,5
892,82307099,1,210,15
893,82307184,1,36,3
894,82307282,1,110,8
895,82307307,1,56,4
896,82307312,1,56,4
897,82307316,1,56,4
898,82307317,1,56,4
899,82307319,1,56,4
900,82307320,1,56,4
901,82307348,1,84,4
902,82307454,1,56,4
903,82307456,1,42,3
904,82307457,1,56,4
905,82307460,1,56,4
906,82307461,1,56,4
907,82307605,1,21,2
908,82308076,1,32,2
909,82308077,1,42,2
910,82308087,1,136,10
911,82308256,1,288,21
912,82308591,1,56,4
913,82308973,1,84,4
914,82308978,1,33,3
915,82309022,1,52,3
916,82309023,1,100,5
917,82309043,1,108,7
918,82309050,1,108,7
919,82309055,1,57,5
920,82309070,1,76,5
921,82309075,1,76,5
922,82309090,1,76,5
923,82309095,1,108,7
924,82309096,1,88,7
925,82309099,1,108,7
926,82309189,1,104,7
927,82309195,1,60,5
928,82309197,1,90,7
929,82309198,1,90,7
930,82309201,1,90,7
931,82309202,1,90,7
932,82309308,1,70,5
933,82309356,1,280,16
934,82309374,1,120,6
935,82309415,1,135,5
936,82309445,1,168,7
937,82309554,1,240,13
938,82309720,1,75,6
939,82309750,6,80,6
940,82309817,1,56,4
941,82309819,1,42,3
942,82309820,1,76,6
943,82309858,1,64,5
944,82309859,1,64,5
945,82310221,1,100,8
946,82310341,1,115,10
947,82310522,1,180,11
948,82310523,1,125,9
949,82311006,1,48,3
950,82311113,36,96,7
951,82311247,1,90,7
952,82311267,1,77,3
953,82311268,1,66,3
954,82311277,1,30,1
955,82311279,1,42,1
956,82311282,1,63,2
957,82311619,1,240,18
958,82311782,1,90,7
959,82311843,6,124,10
960,82311856,1,36,1
961,82311868,1,30,1
962,82311874,1,60,2
963,82311944,1,225,9
964,82312103,1,35,1
965,82312162,1,63,6
966,82312194,1,156,11
967,82312232,36,36,3
968,82312234,48,32,3
969,82312320,1,115,6
970,82312324,1,140,9
971,82312331,1,272,21
972,82312335,1,88,6
973,82312339,1,115,6
974,82312350,1,98,4
975,82312520,1,160,13
976,82312521,1,240,16
977,82312528,1,180,12
978,82312530,1,112,7
979,82312537,1,125,7
980,82312541,1,176,14
981,82312542,1,100,7
982,82312549,1,75,7
983,82312552,1,96,8
984,82312556,1,100,7
985,82312559,1,104,7
986,82312563,1,100,7
987,82312564,1,88,6
988,82312566,1,100,7
989,82312647,1,72,3
990,82312648,1,42,1
991,82312681,1,288,20
992,82312747,1,119,9
993,82312751,1,145,12
994,82312852,1,88,7
995,82312853,1,88,7
996,82312942,1,80,3
997,82312946,1,56,2
998,82312951,1,54,2
999,82312955,1,45,2
1000,82312959,1,36,1
1001,82313105,1,132,8
1002,82313229,1,76,5
1003,82313230,1,72,5
1004,82313282,1,40,2
1005,82313370,1,100,5
1006,82313372,1,102,4
1007,82313518,1,60,3
1008,82313519,1,60,3
1009,82313581,1,80,5
1010,82313635,1,144,10
1011,82313636,1,125,8
1012,82313730,6,36,2
1013,82313791,1,36,1
1014,82313839,72,28,2
1015,82313862,72,28,2
1016,82314083,36,72,3
1017,82314408,72,56,4
1018,82314409,6,288,14
1019,82314415,1,84,4
1020,82314476,12,32,2
1021,82314477,6,120,6
1022,82314507,6,75,6
1023,82314511,6,90,14
1024,82314551,1,42,2
1025,82314554,1,60,2
1026,82314576,1,105,9
1027,82314579,1,165,7
1028,82314633,1,84,7
1029,82314634,1,84,7
1030,82314722,1,50,4
1031,82314723,1,112,8
1032,82314734,1,40,3
1033,82314750,1,125,9
1034,82314751,1,100,8
1035,82314757,1,112,8
1036,82314802,1,60,5
1037,82314808,1,90,7
1038,82314905,1,140,12
1039,82314907,1,72,12
1040,82315066,1,75,7
1041,82315067,1,60,4
1042,82315072,1,105,9
1043,82315077,1,60,4
1044,82315215,1,56,4
1045,82315464,1,266,11
1046,82315477,1,125,8
1047,82315589,1,68,4
1048,82315613,6,20,1
1049,82315635,1,100,8
1050,82316056,6,100,6
1051,82316360,1,30,1
1052,82316400,1,77,5
1053,82316403,1,105,9
1054,82316444,1,30,1
1055,82316462,1,60,5
1056,82316567,36,36,3
1057,82316785,1,108,9
1058,82316788,1,108,9
1059,82316792,1,210,8
1060,82316794,1,80,6
1061,82316796,1,120,8
1062,82316813,1,105,4
1063,82316815,1,135,5
1064,82316919,1,192,15
1065,82317041,1,77,3
1066,82317044,1,40,1
1067,82317121,1,108,5
1068,82317123,1,220,9
1069,82317212,1,90,7
1070,82317474,1,60,4
1071,82317517,1,140,6
1072,82317531,1,50,3
1073,82317532,1,50,3
1074,82317898,1,56,4
1075,82318035,1,63,6
1076,82318052,1,60,2
1077,82318515,1,36,1
1078,82318645,6,119,6
1079,82318708,1,76,6
1080,82319079,1,180,7
1081,82319252,1,60,5
1082,82319492,1,45,2
1083,82319749,1,40,3
1084,82319751,1,68,6
1085,82319792,6,125,9
1086,82320129,1,45,2
1087,82320280,1,48,3
1088,82320337,1,75,4
1089,82320470,1,88,7
1090,82320483,1,160,7
1091,82320539,1,176,7
1092,82320542,1,176,7
1093,82320565,1,420,17
1094,82320673,1,63,5
1095,82320829,1,50,3
1096,82320831,1,98,5
1097,82320836,1,128,4
1098,82320837,1,152,6
1099,82321098,1,360,3
1100,82321100,1,96,5
1101,82321120,12,24,1
1102,82321134,6,63,7
1103,82321168,1,64,4
1104,82321332,1,140,12
1105,82321461,1,200,8
1106,82321492,1,112,4
1107,82321493,1,56,4
1108,82321621,6,36,2
1109,82321652,1,88,6
1110,82321959,1,65,4
1111,82322327,1,70,3
1112,82322358,1,75,4
1113,82322396,1,72,6
1114,82322464,1,96,8
1115,82322473,1,210,3
1116,82322607,1,130,7
1117,82322612,1,90,4
1118,82322722,1,36,3
1119,82322882,1,270,20
1120,82322892,1,48,4
1121,82322971,6,68,6
1122,82323149,1,76,5
1123,82323359,1,88,3
1124,82323360,1,88,3
1125,82323398,1,162,7
1126,82323410,10,80,6
1127,82323422,6,112,7
1128,82323423,6,144,6
1129,82323477,1,168,15
1130,82323632,1,160,7
1131,82323888,1,90,7
1132,82323956,1,48,4
1133,82324001,1,60,4
1134,82324159,6,68,6
1135,82324285,1,112,8
1136,82324457,240,40,4
1137,82324831,1,42,4
1138,82324840,1,48,1
1139,82324841,1,40,2
1140,82325053,1,90,4
1141,82325262,1,108,4
1142,82325275,1,48,2
1143,82325370,1,360,14
1144,82325525,1,72,6
1145,82325526,1,72,6
1146,82325531,1,68,4
1147,82325538,1,100,7
1148,82325544,1,112,7
1149,82325545,1,100,7
1150,82325546,1,95,7
1151,82325551,1,95,7
